gene,department
AP4M1,Transport
AP4S1,Transport
AP5B1,Transport
AP5M1,Transport
AP5S1,DNA repair
AP5S1,Transport
AP5Z1,DNA repair
AP5Z1,Transport
APAF1,Apoptosis
APBA1,Cell adhesion
APBB1,Chromatin
APBB1,Transcription
APBB1,Signaling
APBB1,DNA repair
APBB1,Apoptosis
APBB1IP,Signaling
APBB2,Transcription
APBB2,Signaling
APBB3,Transcription
APC,DNA repair
APC,Apoptosis
APC,Cell adhesion
APC2,Cytoskeleton
APCS,Immune
APCS,Protein folding
APEH,Nuc acid bind
APEH,Proteolysis
APEX1,Transcription
APEX1,DNA repair
APEX1,Nuc acid bind
APEX2,DNA repair
APH1A,Proteolysis
APH1B,Proteolysis
API5,Nuc acid bind
API5,Apoptosis
APIP,Apoptosis
APLF,DNA repair
APLF,Protein folding
APLN,Signaling
APLN,Immune
APLNR,Signaling
APLP1,Apoptosis
APLP1,Cell adhesion
APOA2,Signaling
APOB,Signaling
APOBEC1,RNA processing
APOBEC1,Nuc acid bind
APOBEC2,RNA processing
APOBEC2,Nuc acid bind
APOBEC3A,Nuc acid bind
APOBEC3A,Immune
APOBEC3B,Nuc acid bind
APOBEC3B,Immune
APOBEC3C,Nuc acid bind
APOBEC3C,Immune
APOBEC3D,Nuc acid bind
APOBEC3D,Immune
APOBEC3F,Nuc acid bind
APOBEC3F,Immune
APOBEC3G,Nuc acid bind
APOBEC3G,Immune
APOBEC3H,Nuc acid bind
APOBEC3H,Immune
APOBEC4,RNA processing
APOBR,Transport
APOE,Structural
APOE,Cytoskeleton
APOL1,Immune
APOL3,Immune
APP,Transcription
APP,Apoptosis
APP,Ion channel
APP,Cell adhesion
APPBP2,Ubiquitin
APPL1,Signaling
APPL2,Signaling
APTX,DNA repair
AQP1,Transport
AQP10,Transport
AQP11,Transport
AQP11,Ion channel
AQP12A,Transport
AQP12B,Transport
AQP2,Transport
AQP3,Transport
AQP4,Transport
AQP5,Transport
AQP6,Transport
AQP7,Transport
AQP7B,Transport
AQP8,Transport
AQP9,Transport
AQR,RNA processing
AQR,Nuc acid bind
AR,Transcription
AR,Signaling
ARAF,Kinase
ARAF,Signaling
ARAP1,Signaling
ARAP2,Signaling
ARAP3,Signaling
ARAP3,Transport
ARAP3,Cytoskeleton
ARB2A,RNA processing
ARC,Nuc acid bind
ARC,Structural
ARCN1,Nuc acid bind
ARCN1,Transport
AREL1,Ubiquitin
AREL1,Apoptosis
ARF1,Nuc acid bind
ARF1,Transport
ARF1,GTPase
ARF3,Transport
ARF3,GTPase
ARF4,Transcription
ARF4,Transport
ARF4,GTPase
ARF5,Transport
ARF5,GTPase
ARF6,Cell cycle
ARF6,Transport
ARF6,Cell adhesion
ARF6,GTPase
ARFGAP1,Transport
ARFGAP2,Transport
ARFGAP3,Transport
ARFGEF1,Transport
ARFGEF2,Signaling
ARFGEF3,Transport
ARFIP2,GTPase
ARFRP1,Signaling
ARFRP1,GTPase
ARG1,Immune
ARG2,Immune
ARGFX,Transcription
ARGLU1,RNA processing
ARGLU1,Nuc acid bind
ARHGAP1,Signaling
ARHGAP1,GTPase
ARHGAP10,Signaling
ARHGAP10,Cytoskeleton
ARHGAP11A,Signaling
ARHGAP11B,Signaling
ARHGAP12,Signaling
ARHGAP12,GTPase
ARHGAP15,Signaling
ARHGAP15,GTPase
ARHGAP17,Signaling
ARHGAP18,Signaling
ARHGAP18,GTPase
ARHGAP19,Signaling
ARHGAP20,Signaling
ARHGAP21,Signaling
ARHGAP22,Signaling
ARHGAP23,Signaling
ARHGAP24,Signaling
ARHGAP25,Signaling
ARHGAP26,Signaling
ARHGAP27,Signaling
ARHGAP27,GTPase
ARHGAP28,Signaling
ARHGAP29,Signaling
ARHGAP30,Signaling
ARHGAP30,GTPase
ARHGAP31,Signaling
ARHGAP31,GTPase
ARHGAP32,Signaling
ARHGAP32,GTPase
ARHGAP33,Signaling
ARHGAP33,GTPase
